County	 FIPS	Age-Adjusted Incidence Rate	Lower 95% Confidence Interval	Upper 95% Confidence Interval	Average Annual Count	Recent Trend	Recent 5-Year Trend in Incidence Rates	Lower 95% Confidence Interval	Upper 95% Confidence Interval
"Winston County, Alabama(6,10)"	1133	18.7	12.3	27.5	6	falling	-26.4	-39.7	-10.1
"White County, Arkansas(6,10)"	5145	18.7	14.7	23.4	16	stable	3.1	-16.5	27.4
"Coconino County, Arizona(6,10)"	4005	18.7	15.3	22.6	23	stable	-12.5	-28.4	7
"Lawrence County, Arkansas(6,10)"	5075	18.7	10.8	30	4	rising	63.5	32.3	102
"Marshall County, Indiana(6,10)"	18099	18.6	13.7	24.9	10	stable	-10.2	-46.6	51.1
"Jefferson County, Pennsylvania(6,10)"	42065	18.6	13.7	24.8	11	stable	-6.7	-35.6	35.2
"Kent County, Maryland(6,10)"	24029	18.6	12.2	27.9	6	stable	14.3	-48.3	152.6
"Greene County, North Carolina(6,10)"	37079	18.6	11.7	28.3	5	stable	-2.8	-46.1	75.3
"St. Lucie County, Florida(6,10)"	12111	18.6	16.7	20.7	76	stable	1.4	-24.2	35.6
"Cattaraugus County, New York(6,10)"	36009	18.6	14.9	23	18	stable	2.8	-23.3	37.8
"Falls County, Texas(6,10)"	48145	18.6	11	29.6	4	stable	4.4	-43.1	91.4
"Adams County, Ohio(6,10)"	39001	18.6	12.4	26.8	6	stable	25.5	-21	99.4
"Camden County, Missouri(6,10)"	29029	18.5	13.9	24.5	12	stable	0.3	-31	45.8
"King George County, Virginia(6,10)"	51099	18.5	11.4	28.4	4	stable	4.7	-39	79.8
"McKean County, Pennsylvania(6,10)"	42083	18.5	13.5	24.8	10	stable	-17	-45.7	26.9
"Lincoln County, Mississippi(6,10)"	28085	18.5	13	25.6	8	stable	-6	-29.9	26.1
"Madison County, Indiana(6,10)"	18095	18.5	15.5	21.9	29	stable	5.6	-17.4	35.1
"West Baton Rouge Parish, Louisiana(7)"	22121	18.5	11.5	28	5	*	*	*	*
"Randolph County, Arkansas(6,10)"	5121	18.4	11.1	29	4	stable	-8.6	-51.5	72.2
"Sierra County, New Mexico(7)"	35051	18.4	9.9	32.6	4	*	*	*	*
"Montezuma County, Colorado(6,10)"	8083	18.4	12.3	26.7	6	stable	-2.2	-48.2	84.8
"Massac County, Illinois(6,10)"	17127	18.4	11.1	29.4	4	stable	2	-10.1	15.8
"Wichita County, Texas(6,10)"	48485	18.4	15.2	22.1	25	stable	6.6	-8	23.4
"Allegany County, Maryland(6,10)"	24001	18.4	14.7	22.9	18	stable	14	-30.2	86.3
"Poweshiek County, Iowa(7)"	19157	18.4	11.4	28.5	5	*	*	*	*
"Shelby County, Illinois(6,10)"	17173	18.4	11.8	27.6	5	stable	12.5	-50.3	154.4
"Fairfield County, Ohio(6,10)"	39045	18.4	15.5	21.7	30	stable	-4.2	-25.1	22.5
"Harrison County, Indiana(6,10)"	18061	18.4	13.1	25.2	8	stable	10.8	-30.2	75.9
"Fayette County, Ohio(6,10)"	39047	18.4	12.3	26.5	6	stable	-2.7	-40.8	59.9
"Natrona County, Wyoming(6,10)"	56025	18.4	14.3	23.2	15	stable	-15.2	-42.2	24.3
"Van Zandt County, Texas(6,10)"	48467	18.4	13.9	23.9	12	stable	-7.9	-43.5	50
"Union County, Mississippi(6,10)"	28145	18.4	12.1	26.8	6	stable	-0.9	-43.7	74.6
"Lafayette County, Missouri(6,10)"	29107	18.4	12.8	25.6	8	stable	2.8	-14.9	24.2
"Meade County, South Dakota(6,10)"	46093	18.3	11.9	27.1	5	stable	-6.3	-39.5	45
"Worcester County, Massachusetts(6,10)"	25027	18.3	17.1	19.7	166	stable	4.8	-0.7	10.7
"Montgomery County, Alabama(6,10)"	1101	18.3	15.9	21	43	stable	-12.1	-30.3	10.9
"Ionia County, Michigan(6,10)"	26067	18.3	14	23.6	13	stable	20.6	-6.7	56
"Highland County, Ohio(6,10)"	39071	18.3	13.2	24.8	9	stable	8.8	-15.4	40
"Tulsa County, Oklahoma(6,10)"	40143	18.3	16.8	19.9	117	stable	11.2	-0.2	23.8
"Montgomery County, Kentucky(7,8)"	21173	18.3	12	26.8	5	stable	-2.4	-7.5	3.1
"Newport News City, Virginia(6,10)"	51700	18.3	15.5	21.5	31	stable	-2.7	-19	16.9
"Washington County, Texas(6,10)"	48477	18.3	13.1	25	9	stable	-0.3	-16.7	19.4
"McHenry County, Illinois(6,10)"	17111	18.3	16.2	20.6	57	stable	-8.3	-23.7	10.4
"Pike County, Ohio(6,10)"	39131	18.3	12.2	26.4	6	stable	9.2	-29	67.8
"New York County, New York(6,10)"	36061	18.3	17.4	19.2	332	stable	-2.1	-13.9	11.3
"Cooke County, Texas(6,10)"	48097	18.3	12.8	25.4	8	stable	0	-25.4	34.1
"Wayne County, Indiana(6,10)"	18177	18.3	14.4	23	16	stable	-15.8	-44.8	28.3
"Clinton County, Michigan(6,10)"	26037	18.3	14.3	23.1	15	stable	2.3	-13.7	21.2
"Dunn County, Wisconsin(6,10)"	55033	18.3	13.1	24.9	9	stable	18.7	-23	83
"Crawford County, Wisconsin(6,10)"	55023	18.3	10.7	29.5	4	stable	-0.3	-42.8	73.9
"Trinity County, Texas(6,10)"	48455	18.3	10.5	30.2	4	stable	23	-47.6	188.8
"Logan County, Illinois(6,10)"	17107	18.3	12.5	26	7	stable	-5.3	-50	79.3
"McCreary County, Kentucky(7)"	21147	18.3	10.4	29.7	3	*	*	*	*
"Mingo County, West Virginia(6,10)"	54059	18.3	12	26.8	6	stable	3	-29	49.4
"Delaware County, New York(6,10)"	36025	18.3	13.8	23.9	12	stable	4	-6.8	16
"Newaygo County, Michigan(6,10)"	26123	18.3	13.6	24.1	11	stable	-8.1	-41.6	44.4
"DeKalb County, Georgia(7,8)"	13089	18.3	16.7	19.9	117	rising	1	0.4	1.6
"Obion County, Tennessee(6,10)"	47131	18.2	12.5	25.9	7	stable	6	-46	108.2
"Dade County, Georgia(7)"	13083	18.2	10.7	29.3	4	*	*	*	*
"Vernon Parish, Louisiana(7,8)"	22115	18.2	13.1	24.7	9	rising	7.3	1.8	13
"Sullivan County, New York(6,10)"	36105	18.2	14.4	22.8	17	stable	6.9	-32.6	69.5
"Yankton County, South Dakota(6,10)"	46135	18.2	11.6	27.4	5	stable	6.2	-20.9	42.6
"Grayson County, Texas(6,10)"	48181	18.2	15.2	21.7	26	stable	-2.2	-20.6	20.5
"De Soto Parish, Louisiana(7,8)"	22031	18.2	11.7	27.1	5	stable	4.6	-2.4	12.1
"Kalamazoo County, Michigan(6,10)"	26077	18.2	15.9	20.7	48	stable	5.5	-6.8	19.3
"Monroe County, Pennsylvania(6,10)"	42089	18.2	15.5	21.2	35	stable	5.2	-12.2	26
"Screven County, Georgia(7)"	13251	18.2	10	30.6	3	*	*	*	*
"Marquette County, Michigan(6,10)"	26103	18.2	14	23.3	14	stable	2	-24.2	37.2
"Tipton County, Indiana(6,10)"	18159	18.2	10.5	29.7	4	stable	1.3	-25.2	37.2
"Hardee County, Florida(6,10)"	12049	18.2	11.7	26.9	5	stable	4.5	-44.1	95.3
"Shenandoah County, Virginia(6,10)"	51171	18.2	13.5	24.1	11	stable	28	-2.4	67.8
"East Feliciana Parish, Louisiana(7)"	22037	18.2	10.9	28.6	4	*	*	*	*
"Clinton County, Pennsylvania(6,10)"	42035	18.2	13	24.8	9	stable	-6.7	-34.2	32.1
"Lincoln County, Nebraska(6,10)"	31111	18.2	12.8	25.1	8	stable	4.6	-21.3	39
"Comal County, Texas(6,10)"	48091	18.2	15.1	21.7	26	stable	-2.6	-14	10.2
"Limestone County, Alabama(6,10)"	1083	18.1	14.5	22.5	17	stable	7.1	-20	43.4
"Vigo County, Indiana(6,10)"	18167	18.1	14.8	22	22	stable	9.8	-15.9	43.3
"Marion County, Alabama(6,10)"	1093	18.1	12.4	25.8	7	stable	5	-24.3	45.5
"Berrien County, Michigan(6,10)"	26021	18.1	15.5	21.2	35	stable	-3.6	-20	16.2
"Frederick County, Virginia(6,10)"	51069	18.1	14.3	22.7	16	stable	9.5	-10.3	33.8
"Trumbull County, Ohio(6,10)"	39155	18.1	15.9	20.7	50	stable	9.2	-17.8	45.1
"Marshall County, West Virginia(6,10)"	54051	18.1	12.6	25.4	8	stable	-1.8	-43.2	69.7
"Upson County, Georgia(7,8)"	13293	18.1	12	26.4	6	stable	5	-1	11.4
"Worth County, Georgia(7)"	13321	18.1	11.4	27.5	5	*	*	*	*
"Fayette County, Illinois(6,10)"	17051	18.1	11.4	27.6	5	stable	-15.3	-29.2	1.3
"Muskegon County, Michigan(6,10)"	26121	18.1	15.5	21.1	35	stable	-2.8	-17.9	15.1
"Benton County, Missouri(6,10)"	29015	18.1	10.8	28.9	5	stable	-19.2	-54.4	43.1
"Houston County, Georgia(7,8)"	13153	18.1	15	21.6	25	stable	2.3	-1.5	6.3
"Monroe County, Tennessee(6,10)"	47123	18.1	13.3	24.1	10	stable	-9	-38.6	34.9
"Granville County, North Carolina(6,10)"	37077	18.1	13.8	23.4	12	stable	-8	-17.7	2.9
"Tuscarawas County, Ohio(6,10)"	39157	18.1	14.6	22.2	20	stable	-1.9	-23.6	26
"Denver County, Colorado(6,10)"	8031	18.1	16.6	19.7	110	stable	7.9	-11	30.7
"Marion County, West Virginia(6,10)"	54049	18.1	13.8	23.4	13	stable	-1.3	-26.7	32.8
"New Haven County, Connecticut(7,8)"	9009	18.1	16.9	19.3	184	stable	-0.2	-4.1	3.9
"Lauderdale County, Mississippi(6,10)"	28075	18.1	14.3	22.5	16	stable	0.6	-19.1	25.1
"Racine County, Wisconsin(6,10)"	55101	18	15.6	20.8	40	rising	20.2	13.7	27.1
"Wayne County, West Virginia(6,10)"	54099	18	13.1	24.3	9	stable	19.8	-12.2	63.6
"Ste. Genevieve County, Missouri(6,10)"	29186	18	10.9	28.4	4	stable	12.2	-28.2	75.3
"Daviess County, Indiana(6,10)"	18027	18	12.1	25.9	6	stable	-1.3	-35.5	51.2
"Wayne County, Georgia(7,8)"	13305	18	12	26.1	6	stable	4.3	-0.1	9
"Nicholas County, West Virginia(6,10)"	54067	18	11.9	26.3	6	stable	-8.2	-42.4	46.2
"Platte County, Missouri(6,10)"	29165	18	14.4	22.3	18	stable	7.8	-11.3	31.2
"Polk County, Missouri(6,10)"	29167	18	12.1	25.7	6	stable	3.7	-40.6	81
"Boone County, Iowa(7,8)"	19015	18	11.9	26.2	6	stable	1.5	-1.5	4.5
"Durham County, North Carolina(6,10)"	37063	18	15.7	20.5	48	stable	1	-11.8	15.7
"Orange County, Florida(6,10)"	12095	18	16.9	19.1	201	stable	6.5	-1.9	15.7
"Scioto County, Ohio(6,10)"	39145	18	14.2	22.4	17	stable	18.7	-1.9	43.7
"Washington County, Maine(6,10)"	23029	18	12.4	25.3	8	rising	56.9	17.7	109.2
"Harrison County, Mississippi(6,10)"	28047	18	15.4	20.8	37	stable	3.5	-11.4	21
"Simpson County, Mississippi(6,10)"	28127	18	11.8	26.3	6	stable	-0.6	-14.6	15.7
"Washington County, Florida(6,10)"	12133	17.9	11.6	26.7	5	stable	-22.3	-59.3	48.3
"Winston County, Mississippi(6,10)"	28159	17.9	11.1	27.7	4	stable	5.3	-36.1	73.5
"Polk County, North Carolina(6,10)"	37149	17.9	11.6	27.1	6	stable	-1.2	-39.5	61.2
"Middlesex County, New Jersey(7,8)"	34023	17.9	16.7	19.2	158	rising	1.9	1.3	2.5
"Franklin County, Florida(6,10)"	12037	17.9	10	30.7	3	*	*	*	*
"Tangipahoa Parish, Louisiana(7,8)"	22105	17.9	14.6	21.7	22	stable	3.9	-0.2	8.2
"Oklahoma County, Oklahoma(6,10)"	40109	17.9	16.5	19.3	134	stable	6.5	-3.4	17.3
"Sharp County, Arkansas(6,10)"	5135	17.9	10.1	29.4	4	stable	-0.6	-42.3	71
"Allen County, Indiana(6,10)"	18003	17.9	16	19.9	66	falling	-7.3	-13.5	-0.7
"Graham County, Arizona(6,10)"	4009	17.9	12.2	25.2	7	stable	19.9	-16.3	71.9
"Elbert County, Colorado(6,10)"	8039	17.8	10.9	27.8	5	stable	2.9	-54.2	131
"Allen County, Ohio(6,10)"	39003	17.8	14.5	21.7	21	stable	4.4	-19.3	35
"Franklin County, Massachusetts(6,10)"	25011	17.8	13.9	22.6	16	stable	-12.4	-28.1	6.8
"Beauregard Parish, Louisiana(7)"	22011	17.8	12.2	25.1	7	*	*	*	*
"Robertson County, Tennessee(6,10)"	47147	17.8	13.6	23	12	stable	-5.9	-43.2	56
"Crockett County, Tennessee(6,10)"	47033	17.8	10.3	29.1	3	*	*	*	*
"Austin County, Texas(6,10)"	48015	17.8	11.4	26.5	5	stable	10.6	-21.1	55.2
"Howard County, Indiana(6,10)"	18067	17.8	14.1	22.1	17	stable	6.8	-5	20.1
"Randolph County, Indiana(6,10)"	18135	17.8	11.7	26	6	stable	-2.9	-34	42.8
"Allegan County, Michigan(6,10)"	26005	17.7	14.5	21.5	22	stable	-2.9	-15.5	11.5
"Branch County, Michigan(6,10)"	26023	17.7	12.7	24.1	9	stable	-14.4	-28.3	2.3
"Fulton County, Arkansas(6,10)"	5049	17.7	10.2	29.8	4	stable	-12.6	-57.4	79.2
"Kerr County, Texas(6,10)"	48265	17.7	13.6	22.9	15	stable	-3.6	-32.4	37.5
"Gray County, Texas(6,10)"	48179	17.7	11.3	26.6	5	stable	-10.8	-51.6	64.4
"Lawrence County, Tennessee(6,10)"	47099	17.7	12.7	24	9	stable	-4.1	-33.8	39.1
"Marshall County, Tennessee(6,10)"	47117	17.7	11.9	25.4	6	falling	-21.2	-33.9	-5.9
"Oxford County, Maine(6,10)"	23017	17.7	13.6	22.7	14	stable	0.6	-22.7	30.9
"Talladega County, Alabama(6,10)"	1121	17.7	13.9	22.1	16	stable	-7.9	-44.4	52.4
"Langlade County, Wisconsin(6,10)"	55067	17.7	10.6	27.8	4	stable	-3.3	-32.5	38.4
"Bulloch County, Georgia(7,8)"	13031	17.7	13.2	23.2	11	rising	6.1	1.4	11.1
"Raleigh County, West Virginia(6,10)"	54081	17.6	14	22	17	stable	3.2	-15.9	26.5
"Bayfield County, Wisconsin(6,10)"	55007	17.6	10.1	29.3	4	stable	2.8	-44.8	91.6
"Floyd County, Kentucky(7,8)"	21071	17.6	12.4	24.4	8	stable	-1.3	-6.3	4
"Porter County, Indiana(6,10)"	18127	17.6	14.9	20.7	33	stable	4.7	-14.2	27.7
"Columbiana County, Ohio(6,10)"	39029	17.6	14.4	21.3	23	stable	1.8	-20.9	31.1
"Coos County, Oregon(6,10)"	41011	17.6	13.7	22.4	16	stable	-1.8	-32	41.9
"Beaver County, Pennsylvania(6,10)"	42007	17.6	15	20.4	38	rising	27.1	8.7	48.6
"Pettis County, Missouri(6,10)"	29159	17.5	12.4	24.1	8	stable	4.6	-32.8	62.7
"Wayne County, Pennsylvania(6,10)"	42127	17.5	13.3	22.8	12	stable	12.8	-4.2	32.7
"Amite County, Mississippi(6,10)"	28005	17.5	9.7	29.9	3	*	*	*	*
"Ross County, Ohio(6,10)"	39141	17.5	13.8	22	16	stable	2.2	-30.5	50.5
"Fulton County, New York(6,10)"	36035	17.5	13.1	23	11	rising	28.5	0.5	64.3
"Tarrant County, Texas(6,10)"	48439	17.5	16.6	18.5	296	stable	0.1	-12	13.7
"Vernon County, Wisconsin(6,10)"	55123	17.5	11.5	25.6	6	stable	20.6	-11.9	65
"Bandera County, Texas(6,10)"	48019	17.5	11.6	26.1	6	stable	22.3	-9.3	64.9
"Bossier Parish, Louisiana(7,8)"	22015	17.5	14.3	21.2	21	stable	0.5	-3.2	4.3
"Wood County, Texas(6,10)"	48499	17.5	12.8	23.5	12	stable	-15	-51.7	49.3
"Harrison County, Kentucky(7)"	21097	17.5	10.5	27.6	4	*	*	*	*
"Arenac County, Michigan(6,10)"	26011	17.4	10.8	27.6	4	stable	8.8	-42.5	105.7
"Crawford County, Illinois(6,10)"	17033	17.4	10.7	27	4	stable	5.6	-52.7	136.1
"Sanpete County, Utah(7)"	49039	17.4	10.7	26.7	4	*	*	*	*
"Alameda County, California(7,8)"	6001	17.4	16.5	18.4	283	rising	2.5	1.9	3.1
"Kittitas County, Washington(6,10)"	53037	17.4	11.7	24.9	7	stable	-13.3	-53.6	61.7
"Bergen County, New Jersey(7,8)"	34003	17.4	16.3	18.6	195	falling	-2.8	-3.9	-1.7
"Walker County, Georgia(7,8)"	13295	17.4	13.4	22.3	13	stable	0	-3.5	3.7
"Muskogee County, Oklahoma(6,10)"	40101	17.4	13.4	22.1	14	stable	7.5	-12.9	32.7
"Bradley County, Tennessee(6,10)"	47011	17.4	14.1	21.3	20	stable	7.2	-23.9	51
"Collin County, Texas(6,10)"	48085	17.4	16	18.9	128	stable	-4.2	-18	11.9
"Carroll County, Indiana(6,10)"	18015	17.4	10.4	27.4	4	stable	2.9	-41.9	82.2
"Chambers County, Alabama(6,10)"	1017	17.4	12.1	24.2	8	stable	3.4	-23	38.8
"Palo Pinto County, Texas(6,10)"	48363	17.3	11.4	25.4	6	stable	-18.4	-41.2	13.3
"Vermillion County, Indiana(6,10)"	18165	17.3	10.3	27.9	4	stable	3.7	-13.6	24.5
"Oneida County, New York(6,10)"	36065	17.3	15.1	19.7	49	stable	2.9	-15.1	24.7
"Campbell County, Tennessee(6,10)"	47013	17.3	12.3	23.7	8	stable	0.7	-23.1	32
"Will County, Illinois(6,10)"	17197	17.3	15.8	18.8	113	rising	8.7	1.5	16.4
"Hancock County, Mississippi(6,10)"	28045	17.3	12.5	23.4	9	stable	-0.7	-39	61.7
"Cass County, Texas(6,10)"	48067	17.3	11.9	24.4	7	stable	18.7	-19	74.1
"Cooper County, Missouri(6,10)"	29053	17.3	9.6	28.5	3	*	*	*	*
"Grant County, Kentucky(7,8)"	21081	17.2	10.4	26.8	4	rising	43.5	13.6	81.4
"Morgan County, West Virginia(6,10)"	54065	17.2	10.2	27.7	4	stable	-8.4	-28.7	17.6
"San Bernardino County, California(7,8)"	6071	17.2	16.4	18.1	316	stable	0.1	-0.8	1.1
"Providence County, Rhode Island(6,10)"	44007	17.2	15.8	18.7	121	stable	4.3	-2.6	11.7
"Montgomery County, Virginia(6,10)"	51121	17.2	13.3	21.9	14	stable	-12.6	-23.9	0.3
"Crawford County, Ohio(6,10)"	39033	17.2	12.6	23.1	10	stable	-17.5	-38.2	10.2
"Huntingdon County, Pennsylvania(6,10)"	42061	17.2	12.6	23	10	stable	7.9	-18	41.9
"Colfax County, New Mexico(7)"	35007	17.2	9	30.1	3	*	*	*	*
"Richland County, North Dakota(6,10)"	38077	17.2	10.2	27.6	4	stable	-0.5	-36.2	55
"Pike County, Pennsylvania(6,10)"	42103	17.1	13.2	22	14	stable	8.1	-14.1	35.9
"Cumberland County, New Jersey(7,8)"	34011	17.1	14.4	20.2	29	rising	2.2	0.7	3.7
"Schenectady County, New York(6,10)"	36093	17.1	14.5	20.1	32	stable	-2.4	-16.8	14.6
"Phelps County, Missouri(6,10)"	29161	17.1	12.1	23.5	8	stable	25	-24.8	107.8
"Clay County, Indiana(6,10)"	18021	17.1	11.1	25.2	5	stable	-1.4	-31.2	41.5
"Richmond County, New York(6,10)"	36085	17.1	15.5	18.8	91	stable	2.4	-22.9	36
"Steuben County, Indiana(6,10)"	18151	17.1	11.8	24.1	7	stable	12.7	-24	67.1
"Franklin County, Indiana(6,10)"	18047	17.1	10.7	26	5	stable	16.8	-56.5	214
"Natchitoches Parish, Louisiana(7,8)"	22069	17.1	11.7	24	7	rising	6.9	1.5	12.7
"Holmes County, Florida(6,10)"	12059	17.1	10.2	27	4	stable	27.2	-41.1	174.7
"Burke County, Georgia(7,8)"	13033	17.1	10.5	26.3	4	stable	3.6	-2.9	10.6
"Lackawanna County, Pennsylvania(6,10)"	42069	17.1	14.9	19.5	48	stable	4.6	-17.2	32.2
"Wayne County, North Carolina(6,10)"	37191	17	14	20.5	23	stable	-1	-22.5	26.3
"Greene County, Missouri(6,10)"	29077	17	15	19.3	53	stable	-5.2	-26.4	22.1
"Henderson County, Texas(6,10)"	48213	17	13.5	21.2	18	stable	-7.2	-38.5	40.1
"Meriwether County, Georgia(7,8)"	13199	17	10.7	26	5	stable	0.8	-4.1	6.1
"Valencia County, New Mexico(7,8)"	35061	17	13.2	21.5	15	stable	-0.2	-2.3	1.9
"Beckham County, Oklahoma(6,10)"	40009	17	10.3	26.3	4	rising	35.1	2.1	78.8
"Carroll County, Virginia(6,10)"	51035	16.9	11.6	24.2	7	stable	-17.5	-51.1	39.1
"Jefferson County, Indiana(6,10)"	18077	16.9	11.6	24	7	stable	18.6	-9.1	54.8
"Santa Fe County, New Mexico(7,8)"	35049	16.9	14.3	19.9	34	falling	-13.6	-22.7	-3.3
"Jackson County, Oklahoma(6,10)"	40065	16.9	10.3	26	4	stable	37.4	-15.5	123.2
"White County, Illinois(6,10)"	17193	16.9	9.2	28.7	3	*	*	*	*
"Garrett County, Maryland(6,10)"	24023	16.9	11.5	24.1	7	stable	-4.4	-12.9	5
"Pueblo County, Colorado(6,10)"	8101	16.9	14.2	19.9	31	stable	-6	-24	16.2
"Spotsylvania County, Virginia(6,10)"	51177	16.8	13.7	20.5	21	stable	6.7	-11.2	28.2
"Richland Parish, Louisiana(7)"	22083	16.8	10	26.6	4	*	*	*	*
"Hampton City, Virginia(6,10)"	51650	16.8	13.9	20.2	24	stable	13.2	-8.3	39.6
"Moore County, Texas(6,10)"	48341	16.8	9.6	27.3	3	*	*	*	*
"Terrebonne Parish, Louisiana(7,8)"	22109	16.8	13.5	20.7	18	rising	6.2	0.9	11.8
"Lucas County, Ohio(6,10)"	39095	16.8	15.2	18.6	82	stable	11.4	-12.8	42.4
"Gratiot County, Michigan(6,10)"	26057	16.8	11.9	23.1	8	stable	9.8	-26.7	64.7
"Calhoun County, Texas(6,10)"	48057	16.8	9.9	26.5	4	*	*	*	*
"Matanuska-Susitna Borough, Alaska(6,10)"	2170	16.8	12.8	21.6	14	stable	-2.1	-16.4	14.5
"Warren County, North Carolina(6,10)"	37185	16.7	10.3	26	5	stable	34.8	-18.6	123.1
"Jennings County, Indiana(6,10)"	18079	16.7	10.7	24.9	5	stable	-20	-54	38.9
"Hampshire County, Massachusetts(6,10)"	25015	16.7	14	19.8	29	stable	-2.5	-23.8	24.7
"Rockland County, New York(6,10)"	36087	16.7	14.8	18.7	58	stable	0.4	-17.4	21.9
"Weld County, Colorado(6,10)"	8123	16.7	14.4	19.1	42	stable	-11	-24.6	4.9
"Calhoun County, Alabama(6,10)"	1015	16.7	13.7	20.1	23	stable	3.9	-11.5	22
"Henderson County, Kentucky(7,8)"	21101	16.6	12	22.6	9	stable	-1.8	-7.1	3.8
"Izard County, Arkansas(6,10)"	5065	16.6	9.5	28	4	stable	37.8	-4.3	98.3
"Stark County, North Dakota(6,10)"	38089	16.6	10.6	24.9	5	stable	4.5	-44	95.1
"Yakima County, Washington(6,10)"	53077	16.6	14.4	19.1	41	stable	-8.1	-31.1	22.6
"Warrick County, Indiana(6,10)"	18173	16.6	12.5	21.7	12	stable	-2.7	-34.9	45.5
"Erie County, Pennsylvania(6,10)"	42049	16.6	14.6	18.9	53	stable	-5.7	-18.4	9
"Taylor County, Wisconsin(6,10)"	55119	16.6	10.4	25.5	5	*	*	*	*
"DuPage County, Illinois(6,10)"	17043	16.6	15.5	17.8	167	stable	2.8	-8.2	15.2
"Kern County, California(7,8)"	6029	16.6	15.3	18	121	stable	-1.3	-2.9	0.3
"McLennan County, Texas(6,10)"	48309	16.6	14.3	19.1	40	stable	4	-14.4	26.3
"Camden County, Georgia(7)"	13039	16.6	11.5	23.1	8	*	*	*	*
"Bibb County, Alabama(6,10)"	1007	16.6	10	25.9	4	*	*	*	*
"Kauai County, Hawaii(7,8)"	15007	16.6	12.8	21.1	14	falling	-5.6	-9.2	-1.9
"Marion County, Iowa(7,8)"	19125	16.6	11.3	23.6	7	rising	3.4	0.9	6
"Plaquemines Parish, Louisiana(7)"	22075	16.5	10	25.8	4	*	*	*	*
"Monroe County, Michigan(6,10)"	26115	16.5	13.9	19.6	29	stable	-6.9	-34.2	31.5
"Chippewa County, Michigan(6,10)"	26033	16.5	11.6	23	7	stable	-11	-39	29.9
"Jackson County, Missouri(6,10)"	29095	16.5	15.2	17.9	119	stable	-0.4	-12.9	13.9
"Cochise County, Arizona(6,10)"	4003	16.5	13.8	19.5	29	stable	5	-29.6	56.8
"Fresno County, California(7,8)"	6019	16.5	15.3	17.7	142	rising	2.7	1.2	4.2
"Union County, New Jersey(7,8)"	34039	16.5	15	18	96	rising	1.3	0.3	2.2
"Athens County, Ohio(6,10)"	39009	16.5	12	22.1	9	stable	-22.4	-47.9	15.6
"Lynchburg City, Virginia(6,10)"	51680	16.5	12.6	21.1	13	stable	-0.2	-25.5	33.6
"Bristol County, Massachusetts(6,10)"	25005	16.5	15.1	18	106	stable	-7.2	-19.3	6.7
"Mahaska County, Iowa(7)"	19123	16.4	10	25.5	4	*	*	*	*
"Holmes County, Ohio(6,10)"	39075	16.4	11.1	23.3	6	stable	31.8	-32	155.5
"Whitman County, Washington(6,10)"	53075	16.4	10.9	23.7	6	stable	-5.4	-50.4	80.6
"Montgomery County, Tennessee(6,10)"	47125	16.4	13.4	19.7	23	stable	-0.9	-13.1	13
"Honolulu County, Hawaii(7,8)"	15003	16.4	15.3	17.5	181	stable	1.6	0	3.2
"Tom Green County, Texas(6,10)"	48451	16.4	13.2	20.1	20	stable	-9.4	-30.4	17.9
"Mecklenburg County, Virginia(6,10)"	51117	16.4	11.2	23.2	7	stable	-2.3	-29.1	34.5
"Decatur County, Indiana(6,10)"	18031	16.4	10.6	24.3	5	stable	-12.6	-32.6	13.4
"Colorado County, Texas(6,10)"	48089	16.4	10.2	25.2	5	stable	-24.6	-59.6	40.8
"Coffee County, Georgia(7)"	13069	16.4	11.3	22.9	7	*	*	*	*
"Scotland County, North Carolina(6,10)"	37165	16.4	11.1	23.2	7	stable	13.4	-13.1	48
"Coryell County, Texas(6,10)"	48099	16.4	11.8	22	9	stable	6.8	-14.7	33.7
"Polk County, Arkansas(6,10)"	5113	16.3	9.7	25.9	4	stable	3.2	-21.5	35.7
"Hot Spring County, Arkansas(6,10)"	5059	16.3	11.1	23.2	7	stable	-10.8	-38.3	28.9
"Van Wert County, Ohio(6,10)"	39161	16.3	10.8	23.7	6	stable	-4.2	-55.6	107
"Sanilac County, Michigan(6,10)"	26151	16.3	11.6	22.3	9	stable	6.5	-23	47.3
"Jefferson County, Ohio(6,10)"	39081	16.3	12.4	21	14	stable	-6	-28.7	24
"Orange County, Texas(6,10)"	48361	16.3	12.8	20.5	15	stable	-4.3	-23.6	20
"Jerome County, Idaho(6,10)"	16053	16.3	9.6	25.8	4	*	*	*	*
"DeWitt County, Texas(6,10)"	48123	16.3	9.9	25.4	4	stable	-1.7	-36.1	51.3
"Kings County, California(7,8)"	6031	16.3	13.1	19.9	19	stable	3.2	-0.6	7.2
"Osceola County, Florida(6,10)"	12097	16.3	14.2	18.5	46	stable	-8.3	-21.9	7.6
"Gulf County, Florida(6,10)"	12045	16.3	9.3	27	3	*	*	*	*
"Cherokee County, Iowa(7)"	19035	16.3	9.5	27.4	4	*	*	*	*
"Cuyahoga County, Ohio(6,10)"	39035	16.2	15.3	17.2	244	stable	3.1	-1.7	8.1
"Williamson County, Texas(6,10)"	48491	16.2	14.5	18.1	68	stable	-5.8	-18.1	8.4
"Cass County, Michigan(6,10)"	26027	16.2	11.8	21.7	10	stable	-10.7	-53.8	72.5
"Clay County, Missouri(6,10)"	29047	16.2	14	18.7	38	stable	16.7	-4.5	42.5
"Jefferson County, Alabama(6,10)"	1073	16.2	14.9	17.6	118	stable	-7	-23.5	13.2
