County	 FIPS	Age-Adjusted Incidence Rate	Lower 95% Confidence Interval	Upper 95% Confidence Interval	Average Annual Count	Recent Trend	Recent 5-Year Trend in Incidence Rates	Lower 95% Confidence Interval	Upper 95% Confidence Interval
"Clackamas County, Oregon(6,10)"	41005	34.7	32.3	37.4	157	rising	9.2	2.2	16.5
"Queen Annes County, Maryland(6,10)"	24035	34.7	28.3	42.3	21	stable	19.3	-7.4	53.6
"Jackson County, Georgia(7,8)"	13157	34.7	28.3	42.2	21	rising	3.8	1.5	6.2
"Walton County, Georgia(7,8)"	13297	34.7	29.4	40.7	31	stable	-1.5	-6.2	3.4
"Hancock County, Iowa(7)"	19081	34.6	21.9	52.5	5	*	*	*	*
"Lewis County, Missouri(6,10)"	29111	34.5	19.3	56.5	3	*	*	*	*
"Lincoln County, Kentucky(7,8)"	21137	34.5	25.3	46	10	stable	4.2	-0.9	9.5
"Johnson County, Iowa(7,8)"	19103	34.4	29.7	39.6	42	rising	3	1.5	4.4
"Oconee County, Georgia(7,8)"	13219	34.4	26	44.6	12	rising	7.5	3.1	12.1
"Trinity County, California(7,8)"	6105	34.3	23	50.2	7	rising	8.7	3.5	14.2
"Morgan County, Georgia(7)"	13211	34.3	24.3	47.4	8	*	*	*	*
"Haywood County, North Carolina(6,10)"	37087	34.3	28.7	40.7	30	stable	-1.5	-18.4	18.9
"Northumberland County, Virginia(6,10)"	51133	34.3	22	51.8	7	stable	10.8	-20.6	54.6
"Salem County, New Jersey(7,8)"	34033	34.2	28.4	40.8	26	rising	5.3	3.4	7.2
"Weber County, Utah(7,8)"	49057	34.1	30.7	37.9	73	rising	4.5	3.4	5.5
"Owen County, Kentucky(7,8)"	21187	34.1	20.5	53.6	4	stable	2	-4.9	9.3
"Bath County, Kentucky(7)"	21011	34.1	20.7	52.8	4	*	*	*	*
"Flathead County, Montana(6,10)"	30029	34	29.1	39.5	38	stable	7.6	-6.4	23.5
"Washington County, Rhode Island(6,10)"	44009	34	29.8	38.7	53	stable	2.5	-13.4	21.3
"Roanoke County, Virginia(6,10)"	51161	34	29.3	39.3	40	stable	10.5	-14.9	43.6
"Garfield County, Colorado(6,10)"	8045	33.9	26.9	42.3	17	stable	6.7	-32.4	68.4
"St. Johns County, Florida(6,10)"	12109	33.9	30.7	37.4	87	rising	9.1	1.8	17.1
"Gallatin County, Montana(6,10)"	30031	33.9	28.4	40	30	stable	8.7	-15.4	39.7
"Chittenden County, Vermont(6,10)"	50007	33.9	29.9	38.2	57	stable	4.3	-10.4	21.4
"Crittenden County, Kentucky(7,8)"	21055	33.8	18.6	56.1	3	rising	8.5	0.4	17.2
"Sullivan County, Tennessee(6,10)"	47163	33.8	30.2	37.7	71	stable	-4.8	-14.5	6
"Rockbridge County, Virginia(6,10)"	51163	33.7	24.6	45.3	11	stable	6.7	-30.8	64.4
"Habersham County, Georgia(7,8)"	13137	33.7	26.9	41.7	17	rising	3.7	0.9	6.6
"Merrimack County, New Hampshire(6,10)"	33013	33.6	29.7	37.9	59	stable	4.4	-8.9	19.7
"Sarasota County, Florida(6,10)"	12115	33.6	31.4	35.9	248	stable	8.7	-14.3	37.8
"Wayne County, Nebraska(6,10)"	31179	33.6	18.9	55.5	3	*	*	*	*
"Santa Barbara County, California(7,8)"	6083	33.5	31.2	36.1	154	stable	-2.9	-7	1.4
"Trigg County, Kentucky(7,8)"	21221	33.5	22.4	48.7	6	stable	4.6	-0.1	9.6
"Watauga County, North Carolina(6,10)"	37189	33.5	26.7	41.7	18	stable	-7.7	-27.2	16.9
"Sioux County, Iowa(7,8)"	19167	33.5	25.1	43.8	12	rising	4.4	1.8	7
"Centre County, Pennsylvania(6,10)"	42027	33.5	29.3	38.1	49	stable	0.2	-14.6	17.6
"Beaufort County, South Carolina(6,10)"	45013	33.5	30	37.2	81	falling	-18.2	-30.3	-4
"Unicoi County, Tennessee(6,10)"	47171	33.4	23.6	46.3	8	stable	-10.8	-31.6	16.3
"Archuleta County, Colorado(6,10)"	8007	33.4	21.2	50.8	6	stable	15.5	-11.8	51.3
"Loudon County, Tennessee(6,10)"	47105	33.3	27	40.8	23	stable	-4.8	-34.7	38.8
"Box Elder County, Utah(7,8)"	49003	33.3	26.3	41.6	16	rising	3.7	1.9	5.4
"Gilmer County, Georgia(7,8)"	13123	33.3	25.1	43.4	13	stable	1.1	-4	6.5
"Monmouth County, New Jersey(7,8)"	34025	33.3	31.4	35.2	246	rising	2.4	1.2	3.6
