FIPS	Age-Adjusted Incidence Rate	Value (Dollars)	Avg Daily Sunlight (KJ/m²)	neighbor_ave_incedence	neighbor_min_incedence	neighbor_max_incedence	UV_ Wh/m²	neighbor_ave_uv	neighbor_min_uv	neighbor_max_uv
23021	13.3	47132	13310.79	16.725	13.3	21.9	3665.3	3665.0325	3582.51	3706.85
23023	25.2	67173	14435.86	23.44	14.6	29.6	3863.22	3852.394	3825.9	3874.23
23025	15.7	50533	13361.29	17.4	13.3	21.9	3705.47	3719.16571428571	3582.51	3825.9
23027	15.2	54665	13915.78	22.9571428571429	15.2	33.1	3800.73	3783.14	3705.47	3848.63
23029	18	46499	13677.5	20.725	16	27	3714.76	3691.545	3582.51	3762.06
23031	30.9	71560	14703.98	25.9166666666667	17.7	30.9	3892.59	3867.075	3797.77	3903.32
24001	18.4	55405	14667.46	20.9333333333333	12.1	40.8	3893.59	3894.74666666667	3806.76	3983.46
24003	31.8	102606	15914.36	23.4888888888889	6.7	34.7	4083.18	4075.75	4025.21	4121.21
24005	27.1	82329	15218.61	26	9.6	32.4	4025.21	4033.58625	3964.4	4083.18
24009	31.1	109288	16216.12	23.2285714285714	6.7	31.8	4121.21	4114.34285714286	4083.18	4138.2
24011	20.9	60299	15525.25	27.75	19.4	38.4	4095.4	4096.74833333333	4080.75	4118.75
24013	32.1	101208	15007.69	27.9333333333333	23.2	32.4	4007.43	4004.39666666667	3960.87	4050.7
24015	28.6	80146	15288.89	27.2	18.6	32.6	4032.27	4014.77666666667	3956.47	4066.86
24017	19.5	102498	15688.24	17.3555555555556	6.7	31.1	4134.64	4132.84111111111	4102.33	4159.16
24019	19.4	60012	15826.94	26.9375	19.4	38.4	4118.75	4116.11125	4095.4	4138.2
24021	23.2	98064	15006.85	23.6625	12.3	32.1	4017.77	4011.66125	3935.03	4069.19
24023	16.9	55188	14482.49	16.9714285714286	13.1	22.1	3807.25	3835.35571428571	3787.02	3893.59
24025	31.6	93217	15236.31	27.1	18.6	32.4	4021.49	4011.11666666667	3956.47	4066.86
24027	24.8	128504	15232.46	23.5	6.7	32.1	4050.7	4050.78	4007.43	4102.33
24029	18.6	70760	15426.53	28.25	18.6	34.7	4066.86	4053.64	4021.49	4083.18
24031	18.8	117798	15216.56	15.2	6.7	24.8	4068.84	4077.39375	4017.77	4108.66
24033	6.7	85445	15592.56	18.5777777777778	6.7	31.8	4102.33	4097.81	4050.7	4134.64
24035	34.7	100577	15486.76	26.5166666666667	18.6	34.7	4080.75	4084.86333333333	4066.86	4102.09
24037	27.1	98260	16176.32	24.1428571428571	14.9	34.3	4138.2	4136.41	4118.75	4156.24
24039	22.7	46947	16003.9	29.7	19.4	39.2	4131.36	4132.71714285714	4118.75	4154.47
24041	27	73410	15572.66	27.4833333333333	19.4	34.7	4102.09	4100.23	4080.75	4121.21
24043	20.9	67201	14895.82	21.5333333333333	12.3	40.8	3983.46	3975.68777777778	3893.59	4069.19
24045	28.9	63231	15776.33	29.72	19.4	39.2	4119.28	4118.9	4102.6	4131.36
24047	39.2	68558	16661.65	33.1	22.7	39.2	4122.51	4124.04	4102.6	4144.45
24510	9.6	51032	15636.66	22.8333333333333	9.6	31.8	4049.42	4052.60333333333	4025.21	4083.18
25001	33	80751	15731.84	30.35	16.5	44.9	3922.96	3912.33	3898.46	3922.96
25003	21	66604	14359.78	20.5888888888889	14.5	30.4	3770.95	3793.22111111111	3755.14	3816.95
25005	16.5	73775	14983	28.1375	16.5	44.9	3898.46	3900.61625	3872.48	3922.96
25007	44.9	87986	15907.08	39.925	16.5	65.3	3917.36	3918.3325	3898.46	3934.55
25009	22.1	86793	15265.82	22.32	15.9	29.2	3913.07	3897.558	3869.44	3913.07
25011	17.8	70054	14328.1	23.3	16.7	30.9	3808.47	3800.12714285714	3755.14	3853.49
25013	14.5	62350	14495.76	20.1	14.5	25.4	3811.95	3812.25714285714	3770.95	3853.49
25015	16.7	83530	14382.76	17.66	14.5	21	3806.77	3810.326	3770.95	3853.49
25017	18.7	107772	14543.62	21.0833333333333	15.9	25.8	3894.28	3889.10333333333	3853.49	3913.07
25019	65.3	108996	15658.22	55.1	44.9	65.3	3934.55	3925.955	3917.36	3934.55
25021	25.8	112605	14711.12	19.9142857142857	15.9	27	3896.66	3890.51285714286	3853.49	3910.54
25023	27	91720	15673.24	23.64	15.9	33	3910.54	3907.26	3896.66	3922.96
25025	15.9	62050	14760.47	21.9	15.9	27	3907.68	3904.446	3894.28	3913.07
25027	18.3	82733	14483.92	20.7090909090909	14.5	28	3853.49	3846.61545454545	3806.77	3896.66
26005	17.7	61753	14764.15	18.5333333333333	13.5	24.5	3808.06	3826.58333333333	3784.28	3881.1
26007	19.3	47889	14785.97	21.1666666666667	15.9	28.3	3705.93	3694.9	3684.44	3705.93
26009	27.4	55199	14454.6	24.8714285714286	19.5	30.8	3652.05	3658.65428571429	3652.05	3665.16
26011	17.4	46436	14507.78	17.9	13.4	22.8	3705.95	3705.11166666667	3688.65	3715.84
26015	13.5	64724	14314.96	17.8857142857143	13.5	23	3788.98	3789.52142857143	3769.42	3808.06
26017	19.5	57819	14257.57	19.1142857142857	14.5	22.8	3713.53	3713.93142857143	3701.27	3725.91
26019	30.6	56976	14606.07	27.6285714285714	19.6	41.3	3684.36	3702.03142857143	3660.96	3780.99
26021	18.1	57640	14815.57	17.6	13.4	24.3	3819.38	3842.715	3808.64	3881
26023	17.7	53884	14470.86	16	13.5	18.2	3812.38	3812.48857142857	3797.25	3826.33
26025	14.7	53315	14372.84	16.8625	13.5	22.5	3797.25	3800.48	3777.99	3819.72
26027	16.2	56206	14636.78	16.2428571428571	13.5	18.9	3808.64	3813.80285714286	3800.67	3825.63
26029	22.2	60113	14722.56	24.1857142857143	19.6	32.2	3653.48	3656.32714285714	3642.18	3672.23
26031	19.6	47717	14144.99	23.5	15.9	32.2	3672.23	3665.72142857143	3642.18	3694.33
26033	16.5	52058	14157.17	18.7666666666667	15.9	23.9	3653.54	3663.35	3642.18	3694.33
26035	15.8	40171	14184.9	19.575	14.8	27.1	3694.97	3701.43625	3671.38	3731.01
26037	18.3	75033	14205.54	19.2571428571429	16.8	22.2	3754.36	3757.04714285714	3735.85	3777.99
26039	19.5	52781	13890.96	23.35	14.1	30.8	3665.16	3669.24125	3652.05	3688.65
26041	14.4	54702	14729.16	23.46	14.4	41.3	3642.26	3664.84	3602.1	3735.5
26043	11	53537	13930.4	19.15	11	25.6	3642.95	3660.2125	3602.1	3712.42
26045	19.8	67088	14221.02	18.4714285714286	13.5	22.5	3777.99	3779.20571428571	3754.36	3797.25
26047	32.2	64487	14250.26	24.475	19.6	32.2	3654.44	3655.5825	3642.18	3672.23
26049	19	53333	14078.24	19.9428571428571	14.5	23.6	3732.3	3737.62285714286	3717.9	3763.03
26051	20.2	47467	14274.82	18.1375	14.1	23.7	3701.27	3702.28375	3676.51	3720.27
26053	15.1	49677	13597.89	14.45	13.8	15.1	3640.46	3650.19	3640.46	3659.92
26055	30.2	66519	13889.95	25.4375	19.6	30.8	3663.19	3672.24375	3652.05	3710.74
26057	16.8	51865	14262.43	17.7125	14.5	19.7	3735.85	3739.36625	3717.12	3769.42
26059	15	51253	14424.32	16.8875	13.4	22.5	3819.72	3824.605	3796.73	3860.74
26061	16.1	55037	13940.26	17.15	16.1	18.2	3587.48	3594.79	3587.48	3602.1
26063	22.8	53806	14572.14	18.3166666666667	13.4	22.8	3715.84	3713.35833333333	3705.43	3721.5
26065	22.2	62674	14218.66	21.0166666666667	18.3	23.6	3769.71	3767.38833333333	3742.51	3796.73
26067	18.3	57660	14236.29	18.4857142857143	13.5	23	3769.42	3765.76714285714	3735.85	3788.98
26069	13.4	46042	14482.41	16.925	13.4	22.8	3705.43	3703.9675	3688.65	3715.84
26073	15.5	56435	14234.7	18.6	14.8	27.1	3720.27	3718.6175	3694.97	3749.49
26075	22.5	58432	14332.7	20.05	14.7	23.6	3796.73	3794.73	3763.03	3835.31
26077	18.2	63609	14402.89	15.675	13.5	18.2	3800.67	3804.43375	3788.98	3812.38
26079	30.8	47742	13944.54	24.6625	19.5	30.8	3656.79	3665.31375	3652.05	3678.48
26081	23	65290	14212.02	19.1375	13.5	24.5	3784.28	3784.51625	3749.49	3809.26
26087	20.9	61849	14146.42	20.0285714285714	16.3	22.9	3728.26	3735.30142857143	3717.9	3754.96
26089	21.6	68290	14313.81	26.8142857142857	14.4	41.3	3660.96	3670.25714285714	3642.26	3735.5
26091	19	59511	14387.67	18.4428571428571	15	23.6	3835.31	3828.81857142857	3796.73	3860.74
26093	23.6	85692	14187.01	21.7142857142857	19	23.6	3763.03	3765.11857142857	3732.3	3798.1
26097	23.9	46354	14331.85	21.7166666666667	15.9	32.2	3642.18	3661.7	3642.18	3694.33
26099	19.2	67785	14443.26	19.26	11.9	22.9	3754.96	3753.424	3728.26	3791.71
26101	19.6	50678	14676.89	24.3285714285714	8.5	31.3	3710.74	3727.31428571429	3663.19	3819.08
26103	18.2	60492	13878.64	16.3	11	21.8	3602.1	3631.634	3587.48	3683.38
26105	8.5	51500	15023.59	19.4	8.5	31.3	3754.36	3779.52333333333	3710.74	3847.43
26107	14.8	53944	14199.97	18.5333333333333	14.8	27.1	3731.01	3726.19	3694.97	3762.44
26109	21.8	51190	14400.29	22.05	11	41.3	3683.38	3669.76833333333	3602.1	3735.5
26111	18.9	67138	14286.49	17.3142857142857	14.5	20.2	3717.12	3715.56	3694.97	3735.85
