Demographic Data Report for United States by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2011-2015 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Wheeler County, Georgia",13309,32847.000000000,"3,101"
"Lee County, Kentucky",21129,32848.000000000,"3,100"
"Tunica County, Mississippi",28143,33206.000000000,"3,099"
"Calhoun County, Georgia",13037,33229.000000000,"3,098"
"Martin County, Kentucky",21159,33529.000000000,"3,097"
"Tensas Parish, Louisiana",22107,33621.000000000,"3,096"
"Knox County, Kentucky",21121,33642.000000000,"3,095"
"Hall County, Texas",48191,34071.000000000,"3,094"
"Dillon County, South Carolina",45033,34072.000000000,"3,093"
"Buena Vista City, Virginia",51530,34087.000000000,"3,092"
"Coahoma County, Mississippi",28027,34135.000000000,"3,091"
"Mellette County, South Dakota",46095,34259.000000000,"3,090"
"Zavala County, Texas",48507,34468.000000000,"3,089"
"Clinton County, Kentucky",21053,34526.000000000,"3,088"
"Mississippi County, Missouri",29133,34594.000000000,"3,087"
"Harlan County, Kentucky",21095,34648.000000000,"3,086"
"Chicot County, Arkansas",05017,34673.000000000,"3,085"
"Alexander County, Illinois",17003,34759.000000000,"3,084"
"Elliott County, Kentucky",21063,34781.000000000,"3,083"
"Madison County, Idaho",16065,34783.000000000,"3,082"
"Allendale County, South Carolina",45005,34885.000000000,"3,081"
"Randolph County, Georgia",13243,35188.000000000,"3,080"
"Luna County, New Mexico",35029,35245.000000000,"3,079"
"Ziebach County, South Dakota",46137,35250.000000000,"3,078"
"Candler County, Georgia",13043,35258.000000000,"3,077"
"Lee County, Arkansas",05077,35313.000000000,"3,076"
"Grundy County, Tennessee",47061,35316.000000000,"3,075"
"Taylor County, Georgia",13269,35375.000000000,"3,074"
"Hancock County, Tennessee",47067,35408.000000000,"3,073"
"Washington County, Mississippi",28151,35500.000000000,"3,072"
"Sumter County, Alabama",01119,35600.000000000,"3,071"
"Bolivar County, Mississippi",28011,35700.000000000,"3,070"
"McKinley County, New Mexico",35031,35868.000000000,"3,069"
"Adams County, Mississippi",28001,35907.000000000,"3,068"
"Chickasaw County, Mississippi",28017,36000.000000000,"3,067"
"Magoffin County, Kentucky",21153,36073.000000000,"3,066"
"Corson County, South Dakota",46031,36111.000000000,"3,065"
"Monroe County, Arkansas",05095,36136.000000000,"3,064"
"Tyrrell County, North Carolina",37177,36144.000000000,"3,063"
"Zapata County, Texas",48505,36153.000000000,"3,062"
"Ben Hill County, Georgia",13017,36250.000000000,"3,061"
"Cumberland County, Kentucky",21057,36313.000000000,"3,060"
"Wayne County, Kentucky",21231,36346.000000000,"3,059"
"Terrell County, Georgia",13273,36351.000000000,"3,058"
"Menominee County, Wisconsin",55078,36496.000000000,"3,057"
"Scott County, Mississippi",28123,36521.000000000,"3,056"
"Quitman County, Georgia",13239,36563.000000000,"3,055"
"Jefferson County, Georgia",13163,36599.000000000,"3,054"
"Lauderdale County, Tennessee",47097,36689.000000000,"3,053"
"Yazoo County, Mississippi",28163,36694.000000000,"3,052"
"Dallas County, Alabama",01047,36739.000000000,"3,051"
"Dooly County, Georgia",13093,36779.000000000,"3,050"
"Scotland County, North Carolina",37165,36870.000000000,"3,049"
"Clark County, Idaho",16033,36875.000000000,"3,048"
"Robeson County, North Carolina",37155,36903.000000000,"3,047"
"Cameron County, Texas",48061,36941.000000000,"3,046"
"Clay County, Tennessee",47027,36948.000000000,"3,045"
"Northampton County, North Carolina",37131,36998.000000000,"3,043"
"Pemiscot County, Missouri",29155,36998.000000000,"3,043"
"Morehouse Parish, Louisiana",22067,37171.000000000,"3,042"
"Sioux County, North Dakota",38085,37188.000000000,"3,041"
"Fentress County, Tennessee",47049,37198.000000000,"3,040"
"Desha County, Arkansas",05041,37218.000000000,"3,039"
"Taliaferro County, Georgia",13265,37222.000000000,"3,038"
"Scott County, Tennessee",47151,37285.000000000,"3,037"
"Maverick County, Texas",48323,37396.000000000,"3,036"
"Whitley County, Kentucky",21235,37412.000000000,"3,035"
"Wilkinson County, Mississippi",28157,37417.000000000,"3,034"
"St. Francis County, Arkansas",05123,37423.000000000,"3,033"
"Hidalgo County, Texas",48215,37529.000000000,"3,032"
"Dougherty County, Georgia",13095,37561.000000000,"3,031"
"Apache County, Arizona",04001,37674.000000000,"3,030"
"Douglas County, Missouri",29067,37691.000000000,"3,029"
"Warren County, Georgia",13301,37708.000000000,"3,028"
"Webster County, West Virginia",54101,37736.000000000,"3,027"
"Wright County, Missouri",29229,37903.000000000,"3,026"
"Montgomery County, Mississippi",28097,37973.000000000,"3,025"
"Menifee County, Kentucky",21165,37974.000000000,"3,024"
"Atkinson County, Georgia",13003,38011.000000000,"3,023"
"Kemper County, Mississippi",28069,38085.000000000,"3,022"
"Sabine County, Texas",48403,38097.000000000,"3,021"
"Turner County, Georgia",13287,38177.000000000,"3,020"
"Lewis County, Kentucky",21135,38182.000000000,"3,019"
"Floyd County, Kentucky",21071,38272.000000000,"3,018"
"Morgan County, Kentucky",21175,38328.000000000,"3,017"
"Harmon County, Oklahoma",40057,38344.000000000,"3,016"
"Macon County, Georgia",13193,38380.000000000,"3,015"
"Petersburg City, Virginia",51730,38388.000000000,"3,014"
"Bath County, Kentucky",21011,38420.000000000,"3,013"
"Twiggs County, Georgia",13289,38449.000000000,"3,012"
"Dunklin County, Missouri",29069,38469.000000000,"3,011"
"Richmond County, North Carolina",37153,38506.000000000,"3,010"
"Leslie County, Kentucky",21131,38507.000000000,"3,009"
"Bronx County, New York",36005,38517.000000000,"3,008"
"Buchanan County, Virginia",51027,38546.000000000,"3,006"
"Colquitt County, Georgia",13071,38546.000000000,"3,006"
"Marlboro County, South Carolina",45069,38591.000000000,"3,005"
"Ozark County, Missouri",29153,38718.000000000,"3,004"
"Russell County, Kentucky",21207,38750.000000000,"3,003"
