ranger_index	r2_scores
ranger_54	0.204514864259042
ranger_219	0.203354984277467
ranger_1158	0.203260122413304
ranger_309	0.20229850447366
ranger_269	0.201761939020822
ranger_106	0.200554781412713
ranger_279	0.200242547766316
ranger_263	0.199933311004945
ranger_1009	0.199238198453958
ranger_35	0.198601098346193
ranger_89	0.197197158659253
ranger_176	0.196961767434903
ranger_159	0.196331506383076
ranger_64	0.196184830857967
ranger_301	0.194683993768451
ranger_56	0.194504975082566
ranger_1046	0.192790418824846
ranger_1008	0.192616528813189
ranger_330	0.192552244298104
ranger_1261	0.19209739865677
ranger_111	0.190609934892179
ranger_1019	0.189817943656331
ranger_1016	0.188523611292016
ranger_1203	0.18739242771919
ranger_1529	0.186801581363295
ranger_277	0.186675602086766
ranger_5	0.186226888765883
ranger_255	0.18518148932813
ranger_1013	0.185014605782202
ranger_207	0.183915111824872
ranger_1021	0.182682860998898
ranger_1194	0.181392411040185
ranger_1060	0.18127502388556
ranger_310	0.180797903474555
ranger_326	0.179983463744722
ranger_294	0.179074548189648
ranger_152	0.17886237678575
ranger_1170	0.178517184225373
ranger_199	0.178159628745224
ranger_260	0.177800549507459
ranger_1001	0.17768327763945
ranger_127	0.17685628508755
ranger_300	0.176407726861953
ranger_1502	0.175496355451577
ranger_1236	0.174718241967168
ranger_34	0.174174646599196
ranger_1495	0.172745440931289
ranger_94	0.172159936892815
ranger_1025	0.16994302051992
ranger_223	0.168168014734168
ranger_1039	0.167375152557956
ranger_164	0.165687372438243
ranger_261	0.165136677607932
ranger_1011	0.164796692091467
ranger_158	0.161862495700426
ranger_1268	0.160943362290385
ranger_225	0.16032541315014
ranger_1067	0.157734053088526
ranger_1066	0.157414279486491
ranger_329	0.157343208488211
ranger_1527	0.156798106302486
ranger_38	0.156468401666654
ranger_229	0.156361913843973
ranger_153	0.156331037568151
ranger_1005	0.155867767199632
ranger_1069	0.15486661021972
ranger_306	0.154333252357792
ranger_1218	0.154308591220338
ranger_186	0.154269705015751
ranger_1026	0.154262702394763
ranger_1377	0.154228625409995
ranger_6	0.154161606975672
ranger_344	0.154139216634318
ranger_1032	0.153276010556167
ranger_59	0.15320942579345
ranger_147	0.152515453331845
ranger_166	0.15120468983122
ranger_1062	0.150061512472865
ranger_1010	0.149910841683192
ranger_1164	0.14983072077025
ranger_155	0.148620969287221
ranger_1192	0.146369694126354
ranger_282	0.145529654706516
ranger_222	0.144611179847418
ranger_305	0.144330790295575
ranger_156	0.143575400802817
ranger_265	0.142715933120638
ranger_238	0.142423863657886
ranger_1038	0.142214145632351
ranger_1007	0.14193001847425
ranger_110	0.141899677277925
ranger_295	0.141722487606808
ranger_175	0.140117278160634
ranger_179	0.139785377749947
ranger_292	0.139710028349173
ranger_1050	0.139540829993281
ranger_1	0.139128451601399
ranger_208	0.138538805322075
ranger_197	0.138195576404335
ranger_226	0.135703329884692
ranger_1175	0.135330194662828
ranger_1230	0.135249265974426
ranger_1052	0.134568016474107
ranger_184	0.134507556814674
ranger_1259	0.13404665961031
ranger_1129	0.133899431304287
ranger_249	0.133647396020115
ranger_119	0.132856146754967
ranger_257	0.132504343877701
ranger_1133	0.132368802736135
ranger_228	0.131552452544425
ranger_171	0.129149827371158
ranger_275	0.128687808755149
ranger_1114	0.127400496689491
ranger_1053	0.126162709800599
ranger_62	0.126155988186632
ranger_1043	0.12422434776462
ranger_154	0.123616887503193
ranger_192	0.121920667878288
ranger_287	0.121270750665921
ranger_1241	0.11993324251404
ranger_1023	0.119240709713822
ranger_52	0.112167353069857
ranger_1072	0.102219308710593
ranger_202	0.101147993651287
ranger_1219	0.0961622089615614
ranger_1042	0.0951593624196977
ranger_185	0.0938300036356419
ranger_1091	0.0792883203907226
ranger_1029	0.0586447010685636
ranger_1166	-0.350127561318708
