DRUG_ID	F1_score_1	F1_score_2
269	0.753424657534247	0.751196172248804
309	0.751851851851852	0.759962928637627
294	0.751789976133651	0.746898263027295
295	0.751121076233184	0.750287686996548
1166	0.75	0.75
201	0.75	0.778761061946903
88	0.75	0.773109243697479
1158	0.748923959827834	0.755223880597015
155	0.748244734202608	0.73953013278856
178	0.747553816046967	0.756653992395437
56	0.746928746928747	0.779661016949152
194	0.745098039215686	0.733333333333333
1054	0.745033112582781	0.746456692913386
252	0.744801512287335	0.749034749034749
256	0.743119266055046	0.702970297029703
127	0.741721854304636	0.758909853249476
299	0.740740740740741	0.762295081967213
268	0.736842105263158	0.731707317073171
219	0.736486486486487	0.766355140186916
283	0.735849056603774	0.751592356687898
328	0.732824427480916	0.737226277372263
170	0.731707317073171	0.744186046511628
235	0.730650154798761	0.731707317073171
60	0.728476821192053	0.742138364779874
177	0.728057553956834	0.757123473541384
5	0.726072607260726	0.75
302	0.725761772853186	0.743016759776536
301	0.715372907153729	0.705128205128205
41	0.7125	0.703703703703704
225	0.708333333333333	0.725752508361204
167	0.7	0.716666666666667
