Cell_line	rho	pval	num__of_drugs
1290724	0.980421775465567	2.12060834511704e-101	143
1290725	0.97972829804714	1.58685742659982e-55	79
1290730	0.980433691100208	1.46566847905032e-86	122
1290765	0.981549335634606	4.88703471345088e-119	165
1290767	0.973270743598996	1.07723028738257e-90	141
1290768	0.983846581282358	5.06629426110975e-84	112
1290769	0.97940456337871	4.53070101644517e-152	218
1290771	0.9804717648971	9.22742976504295e-50	70
1290795	0.963079336170093	6.0696373964463e-60	104
1290797	0.984841651965365	1.49127697214888e-117	154
1290798	0.974225623644784	1.0086527078206e-93	144
1290806	0.983283155308502	3.83777193323187e-89	120
1290807	0.953201838039274	1.4034758513696e-61	117
1290808	0.97674451214978	3.65733791484039e-92	137
1290809	0.968562072088828	8.27661805400807e-80	131
1290810	0.980680466755951	1.29510204365808e-109	154
1290812	0.980341161975747	2.89270492676055e-89	126
1290813	0.970415876053035	9.03247387568712e-65	104
1290814	0.977191120268481	9.49768405309438e-95	140
1290905	0.982132365475353	5.61203590704844e-126	173
1290906	0.965640426763989	8.57697213730889e-67	113
1290907	0.976533625777739	7.02726021025051e-84	125
1290908	0.979434689832285	4.29495059525916e-81	116
1290922	0.975497305728336	6.04002615105012e-94	142
1295740	0.969085319915356	2.86206513081453e-55	90
1295741	0.97187831814772	6.36221303884413e-88	139
1297438	0.973449566105494	1.20001813278079e-24	38
1297439	0.977213592818216	2.88084791989504e-137	203
1297446	0.975135302108386	4.20961955113847e-77	117
1297447	0.976494525577698	1.46057083019988e-114	171
1297449	0.970161391264595	4.90559718075551e-88	142
1298134	0.980339410436657	1.90244359142044e-98	139
1298136	0.965877788933546	5.54364265365028e-44	74
1298141	0.975807493487758	1.40831198739217e-105	159
1298145	0.976581104986295	1.62434721064306e-62	93
1298146	0.974172632444393	3.32716766197857e-109	168
1298151	0.968357580048168	4.06092556331954e-65	107
1298154	0.964377159506963	4.05020580467067e-31	53
1298156	0.974457283716734	5.69666931180757e-40	61
1298157	0.981843673857859	7.81373211970129e-93	128
1298160	0.977591409985152	6.44976286733158e-94	138
1298168	0.97924009524931	1.26786133296438e-99	143
1298169	0.979883843641236	2.07250985021517e-117	167
1298215	0.981670848663758	8.59234160934558e-100	138
1298216	0.965331849563867	1.33870347238472e-49	84
1298218	0.964499304646909	3.85571345989134e-74	127
